,Star_name,Distance,Mass,Radius,,Star_name,Distance,Mass,Radius
240,2MASSW J2208136+292121,154,0.025773876,0.14489583,294,WISE 1612-3420,55.4,,
241,2MASSW J2224438-015852,38,0.058229868,0.10173537,316,WISE 1852+3537,55.4,,
242,2MASS J22282889-4310262,35,0.040092696,0.09659722,110,OTS 44,554,15,
243,2MASS J22373255+3922398,64,0.069684924,0.10687352,183,2MASSW J2244316+204343,56,12,1.29
244,2MASSW J2244316+204343,56,0.011455056,0.13256427,184,2MASS J23224684-3133231,56,24,1.39
245,2MASS J23224684-3133231,56,0.022910112,0.14284057,210,WISE 0245-3450,56.1,,
246,2MASS J23225299-6151275,148,0.016227996,0.16339317,281,WISE 1320+6034,56.1,,
247,2MASS J23515044-2537367,67,0.084003744,0.11920508,267,WISE 1019+6529,56.8,,
248,2MASSI J2356547-155310,74,0.07636704,0.11201167,11,2MASSW J0045214+163445,57,23,1.62
249,WISE 0410+1502,20,0.005727528,0.12023271,211,WISE 0247+3725,57.1,,
250,WISE 0458+6434A,35.9,0.01431882,0.4316046,234,WISE 0528-3308,57.4,,
251,WISE 0458+6434B,35.9,0.00954588,0.3904994,201,WISE 0138-0322,57.7,,
252,WISE 1405+5534,25.3,0.02863764,0.08837618,239,WISE 0611-0410,57.7,,
